direction,entry_time,entry_price,sl,tp,exit_time,exit_price,pnl,result
BUY,2025-11-25 03:15:00,4127.28,4116.183920465172,4133.197909085241,2025-11-25 03:30:00,4133.197909085241,5.917909085241263,WIN
BUY,2025-11-25 03:45:00,4134.6,4123.301416115379,4140.625911405132,2025-11-25 04:00:00,4140.625911405132,6.02591140513141,WIN
BUY,2025-11-25 12:00:00,4137.18,4124.660819402338,4143.856896318754,2025-11-25 14:30:00,4124.660819402338,-12.519180597661943,LOSS
BUY,2025-11-25 15:00:00,4138.0,4124.957948649431,4144.955760720303,2025-11-25 15:15:00,4144.955760720303,6.95576072030326,WIN
BUY,2025-11-25 18:15:00,4140.38,4125.379454301473,4148.380291039215,2025-11-25 19:00:00,4148.380291039215,8.000291039214972,WIN
BUY,2025-11-26 08:15:00,4158.06,4148.894698070845,4162.948161028883,2025-11-26 08:30:00,4148.894698070845,-9.165301929155248,LOSS
BUY,2025-11-26 09:45:00,4157.22,4147.925365772956,4162.177138254424,2025-11-26 10:00:00,4162.177138254424,4.957138254423626,WIN
BUY,2025-11-26 10:15:00,4166.52,4157.043708243008,4171.574022270396,2025-11-26 10:30:00,4157.043708243008,-9.476291756992396,LOSS
BUY,2025-11-26 10:45:00,4161.0,4150.846207617696,4166.415355937229,2025-11-26 13:30:00,4166.415355937229,5.415355937228924,WIN
BUY,2025-11-26 17:30:00,4161.84,4148.681939420024,4168.857632309321,2025-11-26 19:15:00,4168.857632309321,7.017632309321016,WIN
SELL,2025-11-27 06:45:00,4150.62,4158.058013614768,4146.653059405457,2025-11-27 07:45:00,4146.653059405457,3.9669405945433027,WIN
BUY,2025-11-27 11:45:00,4158.48,4150.670680845222,4162.644970215881,2025-11-27 15:00:00,4150.670680845222,-7.809319154777768,LOSS
BUY,2025-11-28 06:30:00,4185.89,4178.639251742517,4189.757065737324,2025-11-28 07:00:00,4178.639251742517,-7.250748257482883,LOSS
BUY,2025-11-28 07:15:00,4184.63,4175.857219780726,4189.308816116946,2025-11-28 09:45:00,4175.857219780726,-8.772780219273955,LOSS
SELL,2025-11-28 12:15:00,4168.63,4180.7789340875615,4162.150568486634,2025-11-28 12:30:00,4162.150568486634,6.479431513365853,WIN
SELL,2025-11-28 15:15:00,4170.52,4180.755138719686,4165.061259349502,2025-11-28 15:45:00,4180.755138719686,-10.235138719685892,LOSS
BUY,2025-11-28 16:00:00,4191.82,4180.656984414303,4197.773608312371,2025-11-28 16:15:00,4197.773608312371,5.953608312371216,WIN
BUY,2025-12-01 01:15:00,4222.05,4210.093722888276,4228.426681126253,2025-12-01 02:15:00,4228.426681126253,6.376681126253061,WIN
BUY,2025-12-01 08:00:00,4232.9,4220.2127178050005,4239.666550503999,2025-12-01 08:45:00,4239.666550503999,6.766550503999497,WIN
BUY,2025-12-01 09:15:00,4240.38,4228.321664135428,4246.811112461105,2025-12-01 10:00:00,4246.811112461105,6.431112461104931,WIN
SELL,2025-12-01 19:00:00,4229.94,4246.726489782707,4220.9872054492225,2025-12-02 03:00:00,4220.9872054492225,8.952794550777071,WIN
SELL,2025-12-02 05:00:00,4223.92,4235.379811287934,4217.808100646435,2025-12-02 05:45:00,4217.808100646435,6.111899353564695,WIN
SELL,2025-12-02 07:30:00,4220.03,4228.899732835439,4215.299475821099,2025-12-02 08:15:00,4215.299475821099,4.7305241789008505,WIN
SELL,2025-12-02 08:30:00,4209.09,4219.137957348838,4203.731089413953,2025-12-02 09:15:00,4219.137957348838,-10.047957348838281,LOSS
SELL,2025-12-02 09:30:00,4211.5,4221.332087537489,4206.256219980006,2025-12-02 11:00:00,4206.256219980006,5.243780019994119,WIN
SELL,2025-12-02 17:00:00,4205.92,4219.1897489606645,4198.842800554313,2025-12-02 17:15:00,4198.842800554313,7.077199445687256,WIN
SELL,2025-12-02 17:30:00,4189.02,4203.934809052818,4181.065435171831,2025-12-02 17:45:00,4181.065435171831,7.954564828169168,WIN
SELL,2025-12-02 19:45:00,4193.71,4207.977015094975,4186.10092528268,2025-12-02 20:30:00,4186.10092528268,7.609074717320254,WIN
BUY,2025-12-03 03:00:00,4215.96,4206.094553357248,4221.221571542801,2025-12-03 04:00:00,4221.221571542801,5.2615715428009935,WIN
BUY,2025-12-03 06:15:00,4222.44,4213.78854689231,4227.0541083241005,2025-12-03 07:30:00,4213.78854689231,-8.651453107690031,LOSS
SELL,2025-12-03 13:30:00,4203.72,4211.664465424876,4199.482951773401,2025-12-03 14:30:00,4211.664465424876,-7.944465424875489,LOSS
BUY,2025-12-03 17:00:00,4217.51,4202.8328281857775,4225.337824967585,2025-12-03 17:30:00,4225.337824967585,7.827824967585002,WIN
BUY,2025-12-03 18:00:00,4219.17,4204.601143945595,4226.940056562349,2025-12-03 18:45:00,4204.601143945595,-14.568856054404932,LOSS
SELL,2025-12-03 21:45:00,4207.74,4220.149687939368,4201.12149976567,2025-12-04 04:00:00,4201.12149976567,6.618500234329986,WIN
SELL,2025-12-04 07:45:00,4180.83,4190.892426219304,4175.463372683038,2025-12-04 09:00:00,4190.892426219304,-10.062426219304143,LOSS
SELL,2025-12-04 09:30:00,4189.45,4198.707529015525,4184.51265119172,2025-12-04 11:00:00,4184.51265119172,4.937348808280149,WIN
SELL,2025-12-04 14:15:00,4194.2,4203.246685999573,4189.375100800227,2025-12-04 14:30:00,4189.375100800227,4.824899199772517,WIN
